iter	MultiClass
0	1.044456292
1	0.9984262844
2	0.9605373486
3	0.9267553161
4	0.8981389978
5	0.8751256801
6	0.8542135312
7	0.8387136475
8	0.8192221391
9	0.8044424517
10	0.7901837214
11	0.7785526616
12	0.766560358
13	0.7572281576
14	0.7461282548
15	0.7379130758
16	0.7291892725
17	0.7229396256
18	0.7148557226
19	0.7072874983
20	0.7006644869
21	0.694343768
22	0.6885691279
23	0.6845666757
24	0.679327834
25	0.6759139978
26	0.6733557285
27	0.6684912155
28	0.6631322696
29	0.657371638
30	0.6539068014
31	0.6504087912
32	0.6462603574
33	0.6438432043
34	0.6397256715
35	0.637557297
36	0.6353558027
37	0.6321147655
38	0.6280897506
39	0.6251672665
40	0.6222614843
41	0.6181229756
42	0.6165590383
43	0.6139817778
44	0.6116938088
45	0.6100316493
46	0.6063837348
47	0.604078305
48	0.6016838278
49	0.6000633309
50	0.5990147898
51	0.5963252621
52	0.5946829641
53	0.5910917249
54	0.5890818094
55	0.586797402
56	0.5835281558
57	0.5822557835
58	0.5809365867
59	0.5785188842
60	0.5760858551
61	0.5742405434
62	0.5732884517
63	0.570909761
64	0.5683372759
65	0.5666887649
66	0.5646074933
67	0.5613258993
68	0.5584999831
69	0.5571254776
70	0.555292489
71	0.5520273077
72	0.5490097792
73	0.5472432372
74	0.5445030519
75	0.5419381313
76	0.5399384907
77	0.5363797782
78	0.5346351537
79	0.5322767121
80	0.5297602548
81	0.5272252866
82	0.5259788979
83	0.5235007846
84	0.5217877845
85	0.5191607589
86	0.5167345979
87	0.514262643
88	0.5125099007
89	0.5102569189
90	0.5086741712
91	0.5075514605
92	0.5059241279
93	0.5047337073
94	0.5027823097
95	0.5015001505
96	0.4993784147
97	0.4977338132
98	0.4950774266
99	0.4931686619
100	0.49021327
101	0.4879888316
102	0.4854435
103	0.4843116934
104	0.482108601
105	0.4810480097
106	0.4798520071
107	0.4782301298
108	0.4766684544
109	0.4749625464
110	0.4728236248
111	0.4703061918
112	0.4694224468
113	0.4676423165
114	0.4660260616
115	0.4643676529
116	0.4633702631
117	0.4625006757
118	0.4593610832
119	0.4583165007
120	0.4564694804
121	0.4543837305
122	0.4532913548
123	0.451718863
124	0.4489515991
125	0.4476797474
126	0.4460252337
127	0.4447469955
128	0.4430736352
129	0.441328991
130	0.4398351433
131	0.4380033796
132	0.4365015097
133	0.4355131187
134	0.4342735435
135	0.4325936899
136	0.4296577506
137	0.4283054681
138	0.4268515619
139	0.4249130953
140	0.4241495318
141	0.4227598535
142	0.4213761623
143	0.4199336066
144	0.4185947999
145	0.4177256658
146	0.4169446046
147	0.4159707105
148	0.4148536841
149	0.4134837676
150	0.4126979616
151	0.4108720901
152	0.4100764629
153	0.4095731506
154	0.408480232
155	0.4069412149
156	0.405531989
157	0.4049792263
158	0.4039873725
159	0.4028451587
160	0.4001714661
161	0.3996834037
162	0.3988738518
163	0.3977054998
164	0.3961628863
165	0.3950431527
166	0.3931202851
167	0.3921385099
168	0.3905952025
169	0.389757385
170	0.3883594114
171	0.387254971
172	0.3862844698
173	0.3856725226
174	0.3844266069
175	0.3833257045
176	0.3817661536
177	0.3811289904
178	0.3795429545
179	0.3784110007
180	0.3773695731
181	0.3765206614
182	0.3752877747
183	0.3740521903
184	0.3731583557
185	0.3722202997
186	0.371139595
187	0.3701470513
188	0.3693539423
189	0.3681658025
190	0.3675176802
191	0.3665322458
192	0.3659520636
193	0.3653248005
194	0.3642719851
195	0.3634522719
196	0.3624627021
197	0.3614760818
198	0.3603642878
199	0.3585256914
200	0.3572618665
201	0.3566925688
202	0.3556533567
203	0.3546522421
204	0.353627458
205	0.3526394627
206	0.3511688382
207	0.3507103977
208	0.3495737134
209	0.3491642398
210	0.3479529694
211	0.3470717397
212	0.3462920201
213	0.3456414659
214	0.3440915271
215	0.3430253566
216	0.3419742461
217	0.3413120191
218	0.3401996468
219	0.3390116558
220	0.3384974593
221	0.3376261539
222	0.3371101029
223	0.3362817063
224	0.3347995148
225	0.3337973357
226	0.3331282704
227	0.3327446076
228	0.3320768224
229	0.3309111781
230	0.3297659056
231	0.3292979109
232	0.328082584
233	0.3270628008
234	0.3258366655
235	0.3247894077
236	0.3232552002
237	0.3225837248
238	0.3217929114
239	0.3207354549
240	0.3200971241
241	0.3187055888
242	0.3177621627
243	0.3171997716
244	0.3163185037
245	0.3156246046
246	0.3146064502
247	0.3136614064
248	0.3127435747
249	0.3116882105
250	0.3109411676
251	0.3102646093
252	0.3093562076
