iter	Passed	Remaining
0	137	687947
1	145	363437
2	152	254373
3	159	199332
4	167	167205
5	175	146005
6	183	130541
7	189	118276
8	195	108487
9	205	102299
10	212	96398
11	221	92158
12	228	87796
13	239	85123
14	247	82346
15	256	79955
16	264	77532
17	272	75311
18	280	73586
19	288	71940
20	296	70271
21	303	68764
22	310	67240
23	318	66031
24	325	64683
25	334	63945
26	347	64018
27	354	62971
28	364	62422
29	371	61561
30	380	61035
31	388	60289
32	401	60378
33	411	60167
34	420	59630
35	432	59701
36	444	59678
37	459	60058
38	472	60053
39	487	60406
40	498	60353
41	512	60470
42	523	60404
43	534	60197
44	544	60007
45	555	59775
46	563	59379
47	572	59068
48	579	58557
49	588	58259
50	596	57879
51	604	57566
52	612	57152
53	620	56826
54	628	56509
55	637	56245
56	644	55905
57	652	55570
58	659	55221
59	667	54986
60	677	54866
61	690	54993
62	699	54847
63	709	54756
64	720	54693
65	728	54480
66	740	54517
67	749	54385
68	760	54353
69	771	54328
70	782	54300
71	796	54534
72	807	54491
73	816	54381
74	825	54190
75	836	54189
76	849	54305
77	859	54229
78	871	54304
79	881	54210
80	890	54062
81	901	54047
82	909	53860
83	918	53745
84	928	53667
85	936	53484
86	947	53530
87	959	53581
88	979	54061
89	988	53939
90	997	53830
91	1005	53633
92	1013	53490
93	1021	53325
94	1030	53228
95	1037	53001
96	1046	52884
97	1053	52699
98	1064	52686
99	1070	52474
100	1080	52409
101	1088	52266
102	1098	52213
103	1107	52124
104	1119	52177
105	1129	52141
106	1137	51994
107	1148	52039
108	1161	52114
109	1170	52038
110	1179	51956
111	1187	51808
112	1195	51706
113	1202	51541
114	1212	51508
115	1224	51553
116	1232	51455
117	1242	51410
118	1250	51300
119	1260	51246
120	1268	51168
121	1278	51112
122	1286	50991
123	1294	50912
124	1302	50811
125	1311	50729
126	1320	50672
127	1328	50582
128	1337	50501
129	1344	50376
130	1352	50272
131	1359	50123
132	1365	49959
133	1375	49944
134	1383	49852
135	1392	49789
136	1400	49711
137	1407	49576
138	1413	49447
139	1422	49385
140	1434	49425
141	1440	49294
142	1447	49173
143	1455	49068
144	1462	48965
145	1471	48935
146	1488	49154
147	1504	49319
148	1511	49197
149	1518	49100
150	1524	48964
151	1532	48877
152	1538	48748
153	1550	48783
154	1561	48819
155	1576	48947
156	1596	49261
157	1608	49285
158	1623	49415
159	1635	49487
160	1647	49527
161	1658	49531
162	1669	49540
163	1678	49493
164	1689	49499
165	1699	49487
166	1707	49411
167	1717	49395
168	1726	49342
169	1737	49364
170	1750	49422
171	1760	49413
172	1769	49360
173	1778	49317
174	1786	49256
175	1797	49255
176	1809	49309
177	1819	49281
178	1831	49316
179	1842	49336
180	1853	49339
181	1864	49367
182	1875	49367
183	1884	49324
184	1893	49284
185	1900	49175
186	1906	49079
187	1913	48988
188	1920	48879
189	1928	48812
190	1934	48710
191	1942	48647
192	1948	48541
193	1955	48443
194	1962	48356
195	1968	48254
196	1977	48201
197	1983	48098
198	1990	48032
199	1997	47938
200	2004	47866
201	2011	47787
202	2018	47698
203	2026	47639
204	2032	47548
205	2040	47495
206	2047	47408
207	2055	47344
208	2061	47257
209	2068	47177
210	2075	47102
211	2081	47014
212	2089	46950
213	2095	46859
214	2102	46781
215	2109	46719
216	2116	46659
217	2124	46609
218	2132	46545
219	2139	46493
220	2146	46416
221	2154	46365
222	2160	46287
223	2167	46222
224	2179	46263
225	2187	46218
226	2195	46153
227	2203	46119
228	2210	46052
229	2219	46026
230	2226	45972
231	2234	45932
232	2242	45887
233	2252	45874
234	2259	45810
235	2268	45788
236	2276	45760
237	2289	45819
238	2300	45828
239	2310	45832
240	2320	45814
241	2327	45771
242	2336	45735
243	2342	45664
244	2352	45650
245	2359	45593
246	2368	45573
247	2374	45501
248	2383	45484
249	2391	45430
250	2400	45411
251	2406	45345
252	2415	45320
253	2422	45265
254	2430	45231
255	2438	45183
256	2446	45146
257	2453	45096
258	2461	45058
259	2469	45019
260	2478	44997
261	2485	44951
262	2495	44940
263	2501	44878
264	2508	44823
265	2517	44801
266	2524	44747
267	2533	44733
268	2540	44672
269	2549	44657
270	2556	44603
271	2564	44579
272	2571	44519
273	2579	44491
274	2586	44438
275	2594	44407
276	2601	44354
277	2609	44324
278	2617	44283
279	2625	44258
280	2632	44210
281	2640	44172
282	2647	44121
283	2653	44068
284	2661	44036
285	2668	43984
286	2677	43972
287	2684	43914
288	2692	43898
289	2701	43879
290	2713	43914
291	2725	43938
292	2733	43920
293	2744	43928
294	2752	43901
295	2762	43902
296	2771	43889
297	2779	43864
298	2789	43859
299	2797	43829
300	2808	43837
301	2814	43790
302	2826	43812
303	2833	43774
304	2842	43762
305	2849	43712
306	2858	43693
307	2866	43672
308	2875	43651
309	2883	43621
310	2891	43598
311	2900	43575
312	2907	43541
313	2914	43496
314	2922	43462
315	2929	43418
316	2937	43389
317	2943	43343
318	2952	43326
319	2959	43286
320	2968	43268
321	2975	43224
322	2982	43191
323	2989	43140
324	2996	43100
325	3009	43151
326	3018	43132
327	3031	43174
328	3037	43130
329	3044	43089
330	3052	43057
331	3059	43014
332	3067	42997
333	3074	42957
334	3083	42942
335	3090	42900
336	3098	42873
337	3104	42824
338	3112	42799
339	3119	42759
340	3129	42755
341	3138	42741
342	3147	42736
343	3156	42721
344	3165	42716
345	3172	42677
346	3180	42650
347	3187	42611
348	3198	42629
